App Start Logs,App ID,Action,Worker Type,Lead Time,Reason Description,Reason Type
2022-06-18 19:00:00,62962350c8b3ee01c15aeb44,APP_NOTE_UPDATE,Electrician,-50.975833,app verified #1986277,ADMIN_EDIT_APP
2022-06-18 19:00:00,62962350c8b3ee01c15aeb44,APP_VERIFY,Electrician,-50.980278,,
2022-06-21 3:00:00,6296237ce190ed01c277d943,APP_CLAIM,Electrician,237.423333,,
2022-06-21 3:00:00,6296237ce190ed01c277d943,CUST_CANCEL_FILLED,Electrician,8.933611,,STAFFED_IN_HOUSE
2022-06-23 3:00:00,629623cbc8b3ee01c15af0a0,APP_CLAIM,Electrician,285.418056,,
2022-06-23 3:00:00,629623cbc8b3ee01c15af0a0,APP_VERIFY,Electrician,-8.841944,,
2022-06-24 3:00:00,629623eb364c5601c11f2b90,APP_CLAIM,Electrician,309.411944,,
2022-06-24 3:00:00,629623eb364c5601c11f2b90,APP_VERIFY,Electrician,-10.909167,,
2022-06-25 3:00:00,62962406c8b3ee01c15af93c,APP_CLAIM,Electrician,333.406389,,
2022-06-25 3:00:00,62962406c8b3ee01c15af93c,APP_REPORT_BAD_TIMESHEET,Electrician,-8.453611,,OTHER
2022-06-25 3:00:00,62962406c8b3ee01c15af93c,APP_VERIFY,Electrician,-14.35,,
2022-06-26 11:00:00,6296243c364c5601c11f3418,APP_CLAIM,Electrician,33.371389,,
2022-06-26 11:00:00,6296243c364c5601c11f3418,USER_CANCEL,Electrician,15.4775,my kids have tested positive for Covid,NONE
2022-06-28 11:00:00,6296251f364c5601c11f5b73,APP_CLAIM,Electrician,413.3925,,
2022-06-28 11:00:00,6296251f364c5601c11f5b73,USER_CANCEL,Electrician,108.794167,I have a sleep study the night before so I wouldn’t make it on time,NONE
2022-06-29 3:00:00,62962527364c5601c11f5bc3,APP_CLAIM,Electrician,97.951944,,
2022-06-29 3:00:00,62962527364c5601c11f5bc3,APP_VERIFY,Electrician,-10.756944,,
2022-07-01 3:00:00,629624e1364c5601c11f594d,APP_CLAIM,Electrician,477.360833,,
2022-07-01 3:00:00,62be12063c2f6501c114b1ed,APP_CLAIM,Electrician,4.824167,,
2022-07-01 3:00:00,62be12063c2f6501c114b1ed,APP_VERIFY,Electrician,-8.815833,,
2022-07-01 3:00:00,629624e1364c5601c11f594d,CUST_CANCEL_FILLED,Electrician,8.873611,,STAFFED_IN_HOUSE
2022-07-03 3:00:00,62a68639791a1838b4110c45,APP_CLAIM,Electrician,119.808333,,
2022-07-03 3:00:00,62a68639791a1838b4110c45,USER_CANCEL,Electrician,119.798611,booked wrong CUSTOMER,NONE
2022-07-03 11:00:00,62ba3ad842a40f01bd835ca2,APP_CLAIM,Electrician,127.772222,,
